movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
60,Hancock,http://resizing.flixster.com/pZEMKqMe1dRkWRkxtAI8aFv7wac=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176707_ori.jpg,5.4,6.5,PG-13,92,Columbia,"$624,386,746.00 ",02-Jul-08
61,Indiana Jones and the Kingdom of the Crystal Skull,http://resizing.flixster.com/qzgCz6mYia28SvhY2MKKYr1A8eA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/88/10868884_ori.jpg,6.9,6.2,PG-13,122,Paramount / Lucasfilm,"$786,636,033.00 ",22-May-08
62,Iron Man,http://resizing.flixster.com/cXKTN6mCA8-ig98jkg7RVBhnMv4=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/35/10933541_ori.jpg,7.6,7.9,PG-13,126,Paramount / Marvel Studios,"$585,174,222.00 ",02-May-08
63,Kung Fu Panda,http://resizing.flixster.com/Xx3Kv2GPxvCvWWGe_BjJCd6mq3w=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/78/11177843_ori.jpg,7.2,7.6,PG,92,Paramount / DreamWorks,"$631,744,560.00 ",06-Jun-08
64,Madagascar: Escape 2 Africa,http://resizing.flixster.com/8qu9PY5y1_Vy98M35ZAVSoLceOM=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/92/10849221_ori.jpg,5.9,6.7,PG,89,Paramount / DreamWorks,"$603,900,354.00 ",07-Nov-08
65,Mamma Mia!,http://resizing.flixster.com/-1n0hNCTG4FcJyeGOFqK3yktLk0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/19/11171949_ori.jpg,5.5,6.4,PG-13,108,Universal,"$609,827,661.00 ",18-Jul-08
66,Quantum of Solace,http://resizing.flixster.com/dmf-4VeDXkWOnVqcZgwmDL6ZRDM=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/77/10867703_ori.jpg,6.1,6.7,PG-13,106,MGM / Columbia,"$586,090,727.00 ",14-Nov-08
67,The Chronicles of Narnia: Prince Caspian,http://resizing.flixster.com/0p446SDsCxtLqOzHPuQNS1dxZQE=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/92/11129292_ori.jpg,6.3,6.6,PG,150,Disney / Walden Media,"$419,665,568.00 ",16-May-08
68,The Dark Knight,http://resizing.flixster.com/csINXh6bBY_YMax7pD2fFGtGDjQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/51/11165160_ori.jpg,8.6,9,PG-13,152,Warner Bros. / Legendary,"$997,000,000.00 ",18-Jul-08
69,WALL-E,http://resizing.flixster.com/zWzdOF4aj3aZlB3vX7BlUQ3PbSk=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/09/10930953_ori.jpg,8.5,8.4,G,98,Disney / Pixar,"$521,311,860.00 ",27-Jun-08
